enrollment_id,dropout_prob
72326,0.85542458824027301
72327,0.91690114775971887
72328,0.94362946772149237
72329,0.74653883509304741
72330,0.85959474218756082
72331,0.65407302416087487
72332,0.95372575838567442
72333,0.93737452513772768
72334,0.68791307202568175
72335,0.93225247864140059
72336,0.9655118289201603
72337,0.29617140742610754
72338,0.95956693376685931
72339,0.93110392655839391
72340,0.75005021287459939
72341,0.607553579516797
72342,0.75149926358636854
72343,0.96150561816734548
72344,0.26137758311164633
72345,0.88423640210300591
72346,0.91826772535659551
72347,0.2464591336637883
72348,0.19971462377270455
72349,0.91501350392838454
72350,0.97797650346384279
72351,0.8264340349943391
72352,0.77513682792270688
72353,0.352344913978278
72354,0.95663804824209941
72355,0.42958964802581484
72356,0.26802687965638655
72357,0.97358334025572979
72358,0.97358334025572979
72359,0.82431339658462965
72360,0.93998087078310255
72361,0.9575269089566063
72362,0.057270443603617334
72363,0.95590789873673476
72364,0.66367757402567551
72365,0.65209523824096582
72366,0.96191762470737596
72367,0.71342624168623081
72368,0.17597058461593337
72369,0.94463879737545564
72370,0.79852533347306531
72371,0.71797746758677305
72372,0.97358334025572979
72373,0.95822208596520397
72374,0.71943936273911713
72375,0.96078549861854512
72376,0.97756223229131367
72377,0.93373825655965659
72378,0.8878806228061954
72379,0.9518772858760598
72380,0.89501340672921958
72381,0.78492142768944273
72382,0.97044685984733425
72383,0.96947231233611353
72384,0.65727889573716469
72385,0.98001897638048097
72386,0.92192408168782247
72387,0.88311574957721006
72388,0.90650591476466202
72389,0.5479692168367114
72390,0.97798988996208347
72391,0.47874810871825679
72392,0.89140466740500268
72393,0.59967161684211312
72394,0.18784911872150514
72395,0.90461621357945221
72396,0.96030731510299128
72397,0.91684770198492038
72398,0.93032646468110158
72399,0.94681256877522169
72400,0.069366305184661456
72401,0.92975314369699491
72402,0.3811608972668164
72403,0.75830669057813638
72404,0.93552854863866342
72405,0.86320952227746839
72406,0.4409975507941154
72407,0.93700734104808014
72408,0.85321977044501784
72409,0.7156944671092591
72410,0.93748365940649137
72411,0.97797650346384279
72412,0.88269571066491048
72413,0.96642988370106497
72414,0.84578708594513852
72415,0.80611522644393507
72416,0.82432537682505125
72417,0.13109972529419278
72418,0.91367604067024466
72419,0.92413891254607172
72420,0.90760636248934645
72421,0.9495637862973284
72422,0.94746116909601164
72423,0.93265895398031418
72424,0.94309495865055937
72425,0.56849051300819298
72426,0.9518772858760598
72427,0.75611550025102414
72428,0.94930563674802015
72429,0.70121841334008284
72430,0.81871564673912522
72431,0.27855539235082472
72432,0.82267529319786703
72433,0.28586670192575991
72434,0.95329813878105196
72435,0.65433902280330614
72436,0.96139473624783633
72437,0.96139473624783633
72438,0.96986329565417206
72439,0.96989322147467627
72440,0.94821601010432399
72441,0.96947231233611353
72442,0.94158092979174446
72443,0.048637017623024824
72444,0.5643599205419868
72445,0.44324179753512705
72446,0.93361434042546165
72447,0.83354262348032215
72448,0.94651992191039891
72449,0.85322157257821396
72450,0.96947231233611353
72451,0.75650501290619787
72452,0.89395968867591802
72453,0.91644485537200226
72454,0.53069366372653226
72455,0.94951896326903418
72456,0.95853592832775236
72457,0.92211944818597902
72458,0.92316689771853999
72459,0.40378442796145508
72460,0.91895082195280176
72461,0.93879965815708633
72462,0.97665040146762294
72463,0.93480011471034319
72464,0.91784367876556017
72465,0.89813822973952973
72466,0.90406604806948543
72467,0.91635384203877168
72468,0.96619210126787181
72469,0.74329098010567907
72470,0.94300483167448779
72471,0.6979851011639383
72472,0.96986329565417206
72473,0.95410162107882335
72474,0.70329084792147611
72475,0.66913031171297555
72476,0.90527852341358206
72477,0.34840653557373985
72478,0.31021758473226363
72479,0.78170884353750758
72480,0.54058374133498499
72481,0.94912123329220377
72482,0.86396803437759606
72483,0.94994476056506783
72484,0.81487143426873032
72485,0.8970976522065276
72486,0.9655118289201603
72487,0.35229545944742152
72488,0.96947231233611353
72489,0.17644398662397978
72490,0.94287539077845695
72491,0.93833015787792939
72492,0.92317605187964591
72493,0.97358334025572979
72494,0.95458068511404981
72495,0.84764634311581055
72496,0.96139473624783633
72497,0.84333753964232794
72498,0.74663314216066956
72499,0.6575598062214788
72500,0.92912177510264837
72501,0.90082418904967676
72502,0.95748875662085953
72503,0.94566558364434061
72504,0.95328052973005784
72505,0.97543583599379879
72506,0.13386235377266542
72507,0.96139473624783633
72508,0.9247672037406407
72509,0.97352913022712428
72510,0.94240265929869549
72511,0.27431802925176807
72512,0.97003157145229579
72513,0.9211272848245784
